title,session,authors,affiliations,pdf_url
Ditto: Building Digital Twins of Articulated Objects From Interaction,3D From Multi-View & Sensors,"['Zhenyu Jiang', 'Cheng-Chun Hsu']",['UT'],https://openaccess.thecvf.com/content/CVPR2022/papers/Jiang_Ditto_Building_Digital_Twins_of_Articulated_Objects_From_Interaction_CVPR_2022_paper.pdf
DoubleField: Bridging the Neural Surface and Radiance Fields for High-Fidelity Human Reconstruction and Rendering,3D From Multi-View & Sensors,"['Ruizhi Shao', 'Hongwen Zhang']",['THU'],https://openaccess.thecvf.com/content/CVPR2022/papers/Shao_DoubleField_Bridging_the_Neural_Surface_and_Radiance_Fields_for_High-Fidelity_CVPR_2022_paper.pdf
Efficient Multi-View Stereo by Iterative Dynamic Cost Volume,3D From Multi-View & Sensors,"['Shaoqian Wang', 'Bo Li']",['NPU'],https://openaccess.thecvf.com/content/CVPR2022/papers/Wang_Efficient_Multi-View_Stereo_by_Iterative_Dynamic_Cost_Volume_CVPR_2022_paper.pdf
EfficientNeRF  Efficient Neural Radiance Fields,3D From Multi-View & Sensors,"['Tao Hu', 'Shu Liu']",['CUHK'],https://openaccess.thecvf.com/content/CVPR2022/papers/Hu_EfficientNeRF__Efficient_Neural_Radiance_Fields_CVPR_2022_paper.pdf
ELSR: Efficient Line Segment Reconstruction With Planes and Points Guidance,3D From Multi-View & Sensors,"['Dong Wei', 'Yi Wan']",['WHU'],https://openaccess.thecvf.com/content/CVPR2022/papers/Wei_ELSR_Efficient_Line_Segment_Reconstruction_With_Planes_and_Points_Guidance_CVPR_2022_paper.pdf
Embracing Single Stride 3D Object Detector With Sparse Transformer,3D From Multi-View & Sensors,"['Lue Fan', 'Ziqi Pang']",['CAS'],https://openaccess.thecvf.com/content/CVPR2022/papers/Fan_Embracing_Single_Stride_3D_Object_Detector_With_Sparse_Transformer_CVPR_2022_paper.pdf
Exploiting Rigidity Constraints for LiDAR Scene Flow Estimation,3D From Multi-View & Sensors,"['Guanting Dong', 'Yueyi Zhang']",['USTC'],https://openaccess.thecvf.com/content/CVPR2022/papers/Dong_Exploiting_Rigidity_Constraints_for_LiDAR_Scene_Flow_Estimation_CVPR_2022_paper.pdf
"Fast, Accurate and Memory-Efficient Partial Permutation Synchronization",3D From Multi-View & Sensors,"['Shaohan Li', 'Yunpeng Shi']",['UMN'],https://openaccess.thecvf.com/content/CVPR2022/papers/Li_Fast_Accurate_and_Memory-Efficient_Partial_Permutation_Synchronization_CVPR_2022_paper.pdf
Finding Good Configurations of Planar Primitives in Unorganized Point Clouds,3D From Multi-View & Sensors,"['Mulin Yu', 'Florent Lafarge']",['Inria'],https://openaccess.thecvf.com/content/CVPR2022/papers/Yu_Finding_Good_Configurations_of_Planar_Primitives_in_Unorganized_Point_Clouds_CVPR_2022_paper.pdf
FoggyStereo: Stereo Matching With Fog Volume Representation,3D From Multi-View & Sensors,"['Chengtang Yao', 'Lidong Yu']",['BIT'],https://openaccess.thecvf.com/content/CVPR2022/papers/Yao_FoggyStereo_Stereo_Matching_With_Fog_Volume_Representation_CVPR_2022_paper.pdf
Forecasting Characteristic 3D Poses of Human Actions,3D From Multi-View & Sensors,"['Christian Diller', 'Thomas Funkhouser']",['TUM'],https://openaccess.thecvf.com/content/CVPR2022/papers/Diller_Forecasting_Characteristic_3D_Poses_of_Human_Actions_CVPR_2022_paper.pdf
FWD: Real-Time Novel View Synthesis With Forward Warping and Depth,3D From Multi-View & Sensors,"['Ang Cao', 'Chris Rockwell']",['UM'],https://openaccess.thecvf.com/content/CVPR2022/papers/Cao_FWD_Real-Time_Novel_View_Synthesis_With_Forward_Warping_and_Depth_CVPR_2022_paper.pdf
Generalized Binary Search Network for Highly-Efficient Multi-View Stereo,3D From Multi-View & Sensors,"['Zhenxing Mi', 'Chang Di']",['HKUST'],https://openaccess.thecvf.com/content/CVPR2022/papers/Mi_Generalized_Binary_Search_Network_for_Highly-Efficient_Multi-View_Stereo_CVPR_2022_paper.pdf
GIFS: Neural Implicit Function for General Shape Representation,3D From Multi-View & Sensors,"['Jianglong Ye', 'Yuntao Chen']",['UCSD'],https://openaccess.thecvf.com/content/CVPR2022/papers/Ye_GIFS_Neural_Implicit_Function_for_General_Shape_Representation_CVPR_2022_paper.pdf
Global-Aware Registration of Less-Overlap RGB-D Scans,3D From Multi-View & Sensors,"['Che Sun', 'Yunde Jia']",['BIT'],https://openaccess.thecvf.com/content/CVPR2022/papers/Sun_Global-Aware_Registration_of_Less-Overlap_RGB-D_Scans_CVPR_2022_paper.pdf
GPU-Based Homotopy Continuation for Minimal Problems in Computer Vision,3D From Multi-View & Sensors,"['Chiang-Heng Chien', 'Hongyi Fan']",['Brown'],https://openaccess.thecvf.com/content/CVPR2022/papers/Chien_GPU-Based_Homotopy_Continuation_for_Minimal_Problems_in_Computer_Vision_CVPR_2022_paper.pdf
Gradient-SDF: A Semi-Implicit Surface Representation for 3D Reconstruction,3D From Multi-View & Sensors,"['Christiane Sommer', 'Lu Sang']",['TUM'],https://openaccess.thecvf.com/content/CVPR2022/papers/Sommer_Gradient-SDF_A_Semi-Implicit_Surface_Representation_for_3D_Reconstruction_CVPR_2022_paper.pdf
GraftNet: Towards Domain Generalized Stereo Matching With a Broad-Spectrum and Task-Oriented Feature,3D From Multi-View & Sensors,"['Biyang Liu', 'Huimin Yu']",['ZJU'],https://openaccess.thecvf.com/content/CVPR2022/papers/Liu_GraftNet_Towards_Domain_Generalized_Stereo_Matching_With_a_Broad-Spectrum_and_CVPR_2022_paper.pdf
GuideFormer: Transformers for Image Guided Depth Completion,3D From Multi-View & Sensors,"['Kyeongha Rho', 'Jinsung Ha']",['ADD'],https://openaccess.thecvf.com/content/CVPR2022/papers/Rho_GuideFormer_Transformers_for_Image_Guided_Depth_Completion_CVPR_2022_paper.pdf
Hallucinated Neural Radiance Fields in the Wild,3D From Multi-View & Sensors,"['Xingyu Chen', 'Qi Zhang']",['XJTU'],https://openaccess.thecvf.com/content/CVPR2022/papers/Chen_Hallucinated_Neural_Radiance_Fields_in_the_Wild_CVPR_2022_paper.pdf
HARA: A Hierarchical Approach for Robust Rotation Averaging,3D From Multi-View & Sensors,"['Seong Hun Lee', 'Javier Civera']",[' data-aff='],https://openaccess.thecvf.com/content/CVPR2022/papers/Lee_HARA_A_Hierarchical_Approach_for_Robust_Rotation_Averaging_CVPR_2022_paper.pdf
High-Fidelity Human Avatars From a Single RGB Camera,3D From Multi-View & Sensors,"['Hao Zhao', 'Jinsong Zhang']",['Tianjin'],https://openaccess.thecvf.com/content/CVPR2022/papers/Zhao_High-Fidelity_Human_Avatars_From_a_Single_RGB_Camera_CVPR_2022_paper.pdf
HVH: Learning a Hybrid Neural Volumetric Representation for Dynamic Hair Performance Capture,3D From Multi-View & Sensors,"['Ziyan Wang', 'Giljoo Nam']",['CMU'],https://openaccess.thecvf.com/content/CVPR2022/papers/Wang_HVH_Learning_a_Hybrid_Neural_Volumetric_Representation_for_Dynamic_Hair_CVPR_2022_paper.pdf
HyperDet3D: Learning a Scene-Conditioned 3D Object Detector,3D From Multi-View & Sensors,"['Yu Zheng', 'Yueqi Duan']",['THU'],https://openaccess.thecvf.com/content/CVPR2022/papers/Zheng_HyperDet3D_Learning_a_Scene-Conditioned_3D_Object_Detector_CVPR_2022_paper.pdf
IDEA-Net: Dynamic 3D Point Cloud Interpolation via Deep Embedding Alignment,3D From Multi-View & Sensors,"['Yiming Zeng', 'Yue Qian']",['CityU'],https://openaccess.thecvf.com/content/CVPR2022/papers/Zeng_IDEA-Net_Dynamic_3D_Point_Cloud_Interpolation_via_Deep_Embedding_Alignment_CVPR_2022_paper.pdf
ImplicitAtlas: Learning Deformable Shape Templates in Medical Imaging,3D From Multi-View & Sensors,"['Jiancheng Yang', 'Udaranga Wickramasinghe']",['SJTU'],https://openaccess.thecvf.com/content/CVPR2022/papers/Yang_ImplicitAtlas_Learning_Deformable_Shape_Templates_in_Medical_Imaging_CVPR_2022_paper.pdf
Improving Neural Implicit Surfaces Geometry With Patch Warping,3D From Multi-View & Sensors,"['Fran\\u00e7ois Darmon', 'B\\u00e9n\\u00e9dicte Bascle']",[' data-aff='],https://openaccess.thecvf.com/content/CVPR2022/papers/Darmon_Improving_Neural_Implicit_Surfaces_Geometry_With_Patch_Warping_CVPR_2022_paper.pdf
InfoNeRF: Ray Entropy Minimization for Few-Shot Neural Volume Rendering,3D From Multi-View & Sensors,"['Mijeong Kim', 'Seonguk Seo']",['SNU'],https://openaccess.thecvf.com/content/CVPR2022/papers/Kim_InfoNeRF_Ray_Entropy_Minimization_for_Few-Shot_Neural_Volume_Rendering_CVPR_2022_paper.pdf
Input-Level Inductive Biases for 3D Reconstruction,3D From Multi-View & Sensors,"['Wang Yifan', 'Carl Doersch']",['ETHZ'],https://openaccess.thecvf.com/content/CVPR2022/papers/Yifan_Input-Level_Inductive_Biases_for_3D_Reconstruction_CVPR_2022_paper.pdf
IRON: Inverse Rendering by Optimizing Neural SDFs and Materials From Photometric Images,3D From Multi-View & Sensors,"['Kai Zhang', 'Fujun Luan']",['Cornell'],https://openaccess.thecvf.com/content/CVPR2022/papers/Zhang_IRON_Inverse_Rendering_by_Optimizing_Neural_SDFs_and_Materials_From_CVPR_2022_paper.pdf
IterMVS: Iterative Probability Estimation for Efficient Multi-View Stereo,3D From Multi-View & Sensors,"['Fangjinhua Wang', 'Silvano Galliani']",['ETHZ'],https://openaccess.thecvf.com/content/CVPR2022/papers/Wang_IterMVS_Iterative_Probability_Estimation_for_Efficient_Multi-View_Stereo_CVPR_2022_paper.pdf
ITSA: An Information-Theoretic Approach to Automatic Shortcut Avoidance and Domain Generalization in Stereo Matching Networks,3D From Multi-View & Sensors,"['WeiQin Chuah', 'Ruwan Tennakoon']",['RMIT'],https://openaccess.thecvf.com/content/CVPR2022/papers/Chuah_ITSA_An_Information-Theoretic_Approach_to_Automatic_Shortcut_Avoidance_and_Domain_CVPR_2022_paper.pdf
JoinABLe: Learning Bottom-Up Assembly of Parametric CAD Joints,3D From Multi-View & Sensors,"['Karl D.D. Willis', 'Pradeep Kumar Jayaraman']",['Autodesk'],https://openaccess.thecvf.com/content/CVPR2022/papers/Willis_JoinABLe_Learning_Bottom-Up_Assembly_of_Parametric_CAD_Joints_CVPR_2022_paper.pdf
KeyTr: Keypoint Transporter for 3D Reconstruction of Deformable Objects in Videos,3D From Multi-View & Sensors,"['David Novotny', 'Ignacio Rocco']",['Meta'],https://openaccess.thecvf.com/content/CVPR2022/papers/Novotny_KeyTr_Keypoint_Transporter_for_3D_Reconstruction_of_Deformable_Objects_in_CVPR_2022_paper.pdf
Learning a Structured Latent Space for Unsupervised Point Cloud Completion,3D From Multi-View & Sensors,"['Yingjie Cai', 'Kwan-Yee Lin']",['CUHK'],https://openaccess.thecvf.com/content/CVPR2022/papers/Cai_Learning_a_Structured_Latent_Space_for_Unsupervised_Point_Cloud_Completion_CVPR_2022_paper.pdf
Learning Deep Implicit Functions for 3D Shapes With Dynamic Code Clouds,3D From Multi-View & Sensors,"['Tianyang Li', 'Xin Wen']",['THU'],https://openaccess.thecvf.com/content/CVPR2022/papers/Li_Learning_Deep_Implicit_Functions_for_3D_Shapes_With_Dynamic_Code_CVPR_2022_paper.pdf
Learning Multi-View Aggregation in the Wild for Large-Scale 3D Semantic Segmentation,3D From Multi-View & Sensors,"['Damien Robert', 'Bruno Vallet']",[' data-aff='],https://openaccess.thecvf.com/content/CVPR2022/papers/Robert_Learning_Multi-View_Aggregation_in_the_Wild_for_Large-Scale_3D_Semantic_CVPR_2022_paper.pdf
Learning To Find Good Models in RANSAC,3D From Multi-View & Sensors,"['Daniel Barath', 'Luca Cavalli']",['ETHZ'],https://openaccess.thecvf.com/content/CVPR2022/papers/Barath_Learning_To_Find_Good_Models_in_RANSAC_CVPR_2022_paper.pdf
Learning To Solve Hard Minimal Problems,3D From Multi-View & Sensors,"['Petr Hruby', 'Timothy Duff']",['ETHZ'],https://openaccess.thecvf.com/content/CVPR2022/papers/Hruby_Learning_To_Solve_Hard_Minimal_Problems_CVPR_2022_paper.pdf
Lepard: Learning Partial Point Cloud Matching in Rigid and Deformable Scenes,3D From Multi-View & Sensors,"['Yang Li', 'Tatsuya Harada']",['UTokyo'],https://openaccess.thecvf.com/content/CVPR2022/papers/Li_Lepard_Learning_Partial_Point_Cloud_Matching_in_Rigid_and_Deformable_CVPR_2022_paper.pdf
Mega-NERF: Scalable Construction of Large-Scale NeRFs for Virtual Fly-Throughs,3D From Multi-View & Sensors,"['Haithem Turki', 'Deva Ramanan']",['CMU'],https://openaccess.thecvf.com/content/CVPR2022/papers/Turki_Mega-NERF_Scalable_Construction_of_Large-Scale_NeRFs_for_Virtual_Fly-Throughs_CVPR_2022_paper.pdf
Mip-NeRF 360: Unbounded Anti-Aliased Neural Radiance Fields,3D From Multi-View & Sensors,"['Jonathan T. Barron', 'Ben Mildenhall']",['Google'],https://openaccess.thecvf.com/content/CVPR2022/papers/Barron_Mip-NeRF_360_Unbounded_Anti-Aliased_Neural_Radiance_Fields_CVPR_2022_paper.pdf
Motion-From-Blur: 3D Shape and Motion Estimation of Motion-Blurred Objects in Videos,3D From Multi-View & Sensors,"['Denys Rozumnyi', 'Martin R. Oswald']",['ETHZ'],https://openaccess.thecvf.com/content/CVPR2022/papers/Rozumnyi_Motion-From-Blur_3D_Shape_and_Motion_Estimation_of_Motion-Blurred_Objects_in_CVPR_2022_paper.pdf
Multi-View Mesh Reconstruction With Neural Deferred Shading,3D From Multi-View & Sensors,"['Markus Worchel', 'Rodrigo Diaz']",['HHI'],https://openaccess.thecvf.com/content/CVPR2022/papers/Worchel_Multi-View_Mesh_Reconstruction_With_Neural_Deferred_Shading_CVPR_2022_paper.pdf
MVS2D: Efficient Multi-View Stereo via Attention-Driven 2D Convolutions,3D From Multi-View & Sensors,"['Zhenpei Yang', 'Zhile Ren']",['UT'],https://openaccess.thecvf.com/content/CVPR2022/papers/Yang_MVS2D_Efficient_Multi-View_Stereo_via_Attention-Driven_2D_Convolutions_CVPR_2022_paper.pdf
NeRFusion: Fusing Radiance Fields for Large-Scale Scene Reconstruction,3D From Multi-View & Sensors,"['Xiaoshuai Zhang', 'Sai Bi']",['UCSD'],https://openaccess.thecvf.com/content/CVPR2022/papers/Zhang_NeRFusion_Fusing_Radiance_Fields_for_Large-Scale_Scene_Reconstruction_CVPR_2022_paper.pdf
Neural 3D Scene Reconstruction With the Manhattan-World Assumption,3D From Multi-View & Sensors,"['Haoyu Guo', 'Sida Peng']",['ZJU'],https://openaccess.thecvf.com/content/CVPR2022/papers/Guo_Neural_3D_Scene_Reconstruction_With_the_Manhattan-World_Assumption_CVPR_2022_paper.pdf
Neural 3D Video Synthesis From Multi-View Video,3D From Multi-View & Sensors,"['Tianye Li', 'Mira Slavcheva']",['USC'],https://openaccess.thecvf.com/content/CVPR2022/papers/Li_Neural_3D_Video_Synthesis_From_Multi-View_Video_CVPR_2022_paper.pdf
Neural RGB-D Surface Reconstruction,3D From Multi-View & Sensors,"['Dejan Azinovi\\u0107', 'Ricardo Martin-Brualla']",['UIUC'],https://openaccess.thecvf.com/content/CVPR2022/papers/Azinovic_Neural_RGB-D_Surface_Reconstruction_CVPR_2022_paper.pdf
Neural Volumetric Object Selection,3D From Multi-View & Sensors,"['Zhongzheng Ren', 'Aseem Agarwala']",['UIUC'],https://openaccess.thecvf.com/content/CVPR2022/papers/Ren_Neural_Volumetric_Object_Selection_CVPR_2022_paper.pdf
NeuralHOFusion: Neural Volumetric Rendering Under Human-Object Interactions,3D From Multi-View & Sensors,"['Yuheng Jiang', 'Suyi Jiang']",['ShanghaiTech'],https://openaccess.thecvf.com/content/CVPR2022/papers/Jiang_NeuralHOFusion_Neural_Volumetric_Rendering_Under_Human-Object_Interactions_CVPR_2022_paper.pdf
NeurMiPs: Neural Mixture of Planar Experts for View Synthesis,3D From Multi-View & Sensors,"['Zhi-Hao Lin', 'Wei-Chiu Ma']",['UIUC'],https://openaccess.thecvf.com/content/CVPR2022/papers/Lin_NeurMiPs_Neural_Mixture_of_Planar_Experts_for_View_Synthesis_CVPR_2022_paper.pdf
NICE-SLAM: Neural Implicit Scalable Encoding for SLAM,3D From Multi-View & Sensors,"['Zihan Zhu', 'Songyou Peng']",['ZJU'],https://openaccess.thecvf.com/content/CVPR2022/papers/Zhu_NICE-SLAM_Neural_Implicit_Scalable_Encoding_for_SLAM_CVPR_2022_paper.pdf
NinjaDesc: Content-Concealing Visual Descriptors via Adversarial Learning,3D From Multi-View & Sensors,"['Tony Ng', 'Hyo Jin Kim']",['Meta'],https://openaccess.thecvf.com/content/CVPR2022/papers/Ng_NinjaDesc_Content-Concealing_Visual_Descriptors_via_Adversarial_Learning_CVPR_2022_paper.pdf
"No Pain, Big Gain: Classify Dynamic Point Cloud Sequences With Static Models by Fitting Feature-Level Space-Time Surfaces",3D From Multi-View & Sensors,"['Jia-Xing Zhong', 'Kaichen Zhou']",['Oxford'],https://openaccess.thecvf.com/content/CVPR2022/papers/Zhong_No_Pain_Big_Gain_Classify_Dynamic_Point_Cloud_Sequences_With_CVPR_2022_paper.pdf
Non-Parametric Depth Distribution Modelling Based Depth Inference for Multi-View Stereo,3D From Multi-View & Sensors,"['Jiayu Yang', 'Jose M. Alvarez']",['ANU'],https://openaccess.thecvf.com/content/CVPR2022/papers/Yang_Non-Parametric_Depth_Distribution_Modelling_Based_Depth_Inference_for_Multi-View_Stereo_CVPR_2022_paper.pdf
NPBG++: Accelerating Neural Point-Based Graphics,3D From Multi-View & Sensors,"['Ruslan Rakhimov', 'Andrei-Timotei Ardelean']",['Skoltech'],https://openaccess.thecvf.com/content/CVPR2022/papers/Rakhimov_NPBG_Accelerating_Neural_Point-Based_Graphics_CVPR_2022_paper.pdf
Optimizing Elimination Templates by Greedy Parameter Search,3D From Multi-View & Sensors,"['Evgeniy Martyushev', 'Jana Vr\\u00e1bl\\u00edkov\\u00e1']",['SUSU'],https://openaccess.thecvf.com/content/CVPR2022/papers/Martyushev_Optimizing_Elimination_Templates_by_Greedy_Parameter_Search_CVPR_2022_paper.pdf
Panoptic Neural Fields: A Semantic Object-Aware Neural Scene Representation,3D From Multi-View & Sensors,"['Abhijit Kundu', 'Kyle Genova']",['Google'],https://openaccess.thecvf.com/content/CVPR2022/papers/Kundu_Panoptic_Neural_Fields_A_Semantic_Object-Aware_Neural_Scene_Representation_CVPR_2022_paper.pdf
PlanarRecon: Real-Time 3D Plane Detection and Reconstruction From Posed Monocular Videos,3D From Multi-View & Sensors,"['Yiming Xie', 'Matheus Gadelha']",['NEU'],https://openaccess.thecvf.com/content/CVPR2022/papers/Xie_PlanarRecon_Real-Time_3D_Plane_Detection_and_Reconstruction_From_Posed_Monocular_CVPR_2022_paper.pdf
PlaneMVS: 3D Plane Reconstruction From Multi-View Stereo,3D From Multi-View & Sensors,"['Jiachen Liu', 'Pan Ji']",['PSU'],https://openaccess.thecvf.com/content/CVPR2022/papers/Liu_PlaneMVS_3D_Plane_Reconstruction_From_Multi-View_Stereo_CVPR_2022_paper.pdf
Plenoxels: Radiance Fields Without Neural Networks,3D From Multi-View & Sensors,"['Sara Fridovich-Keil', 'Alex Yu']",['UC'],https://openaccess.thecvf.com/content/CVPR2022/papers/Fridovich-Keil_Plenoxels_Radiance_Fields_Without_Neural_Networks_CVPR_2022_paper.pdf
POCO: Point Convolution for Surface Reconstruction,3D From Multi-View & Sensors,"['Alexandre Boulch', 'Renaud Marlet']",[' data-aff='],https://openaccess.thecvf.com/content/CVPR2022/papers/Boulch_POCO_Point_Convolution_for_Surface_Reconstruction_CVPR_2022_paper.pdf
Point Density-Aware Voxels for LiDAR 3D Object Detection,3D From Multi-View & Sensors,"['Jordan S. K. Hu', 'Tianshu Kuai']",['U'],https://openaccess.thecvf.com/content/CVPR2022/papers/Hu_Point_Density-Aware_Voxels_for_LiDAR_3D_Object_Detection_CVPR_2022_paper.pdf
Point-NeRF: Point-Based Neural Radiance Fields,3D From Multi-View & Sensors,"['Qiangeng Xu', 'Zexiang Xu']",['USC'],https://openaccess.thecvf.com/content/CVPR2022/papers/Xu_Point-NeRF_Point-Based_Neural_Radiance_Fields_CVPR_2022_paper.pdf
Point-to-Voxel Knowledge Distillation for LiDAR Semantic Segmentation,3D From Multi-View & Sensors,"['Yuenan Hou', 'Xinge Zhu']",['SAIL'],https://openaccess.thecvf.com/content/CVPR2022/papers/Hou_Point-to-Voxel_Knowledge_Distillation_for_LiDAR_Semantic_Segmentation_CVPR_2022_paper.pdf
Point2Seq: Detecting 3D Objects As Sequences,3D From Multi-View & Sensors,"['Yujing Xue', 'Jiageng Mao']",['NUS'],https://openaccess.thecvf.com/content/CVPR2022/papers/Xue_Point2Seq_Detecting_3D_Objects_As_Sequences_CVPR_2022_paper.pdf
